country,Action & Adventure,Children & Family Movies,Comedies,Documentaries,Dramas,Independent Movies,International Movies,International TV Shows,Romantic Movies,TV Dramas
Canada,37,68,81,41,71,39,56,24,22,32
France,32,19,48,42,145,61,191,40,20,25
Germany,27,17,38,19,68,26,82,33,9,20
India,134,22,308,26,626,145,828,60,113,25
Japan,47,17,8,7,19,6,61,139,6,21
South Korea,16,9,16,2,23,2,39,139,1,29
Spain,5,9,43,20,73,19,130,51,10,11
United Kingdom,75,40,85,119,156,62,149,116,31,33
United States,315,348,588,478,716,358,146,67,191,221
Unknown,15,53,42,44,44,3,95,156,10,81
